Site	X	Y	KeelVol	KeelPage	Seals per Site
Tell Abu Farag	198500	203500	1	2	1
Tell Abu Hawam	152150	245200	1	4	20
Tell Abu Hawam	152150	245200	1	12	5
Tell Abu Sureq	162000	227000	1	16	4
Chirbet Abu Tabaq	188600	125000	1	18	1
Achsib	159800	272700	1	20	109
Achsib	159800	272700	1	58	53
Afek	143700	168000	1	78	53
Afula	177000	224000	1	100	7
Tell el Agul	93400	97500	1	104	1244
El Ahwat	159100	212400	1	526	2
Ai	174700	147200	1	528	1
Akko	158500	258500	1	530	297
Tell el Amr	159400	237100	1	638	4
Anafa	210500	286800	1	640	8
Arad	162000	76500	1	644	37
Aroer	147900	62300	1	660	2
Aschdod	118000	129500	1	662	67
Aschkelon	107000	119000	1	688	120
Aseka	143000	123000	1	736	32
Asor	131500	159500	1	748	23
Atlit	144100	234600	1	758	49
Bahan 	152000	195500	2	2	1
Be?er Resisim 	109000	20600	2	4	1
Beërscheba 	134700	72600	2	6	15
Bene Beraq 	133800	160440	2	14	1
Betaniën 	174100	130500	2	16	9
BetEl 	172700	148200	2	20	23
BetGamliel 	126300	140500	2	32	7
BetGuvrin 	140200	113300	2	36	3
BetJosef 	202100	218200	2	38	1
BetMirsim 	141000	96000	2	41	105
BetSahur 	171000	122000	2	92	1
BetSchean 	197700	212400	2	95	255
BetSchemesch 	147800	128600	2	217	228
BetZur 	159000	110800	2	318	17
Chirbet elBira 	147600	158900	2	326	1
Tel Bira 	166100	256200	2	328	10
Bittir 	162300	126000	2	332	3
Tel Burga 	147200	214200	2	334	3
Dahret elHumreje 	125700	149500	2	336	8
Wadi ed Dalije 	188900	155600	2	340	70
Dan 	211200	294900	2	380	41
Chirbet edDer 	186500	190600	2	400	1
Der elBalah 	91500	87500	2	402	140
Dor 	142000	224000	2	460	61
Dotan 	172700	202100	2	490	41
Tel Dover 	209200	232200	2	510	2
Ebal 	177300	182900	2	512	3
Efrat 	166700	117600	2	514	3
Ekron 	135600	131500	2	516	74
EladMasor 	145900	161800	2	554	1
Horvat Eleq 	145500	217500	2	556	2
Emmaus 	149000	138000	2	558	1
EnGedi 	186500	95600	2	560	10
EnHazeva 	173400	24200	2	566	2
EnJaël 	166000	127000	2	568	1
EnKerem 	165000	130500	2	570	3
EnNaschav 	197500	207400	2	572	3
EnSamije 	181700	154900	2	574	34
EnSchadud 	172400	229100	2	588	1
Tel Erani 	130000	113000	2	590	5
Horvat Erav 	171500	276200	2	592	1
Tel Eschtori 	199600	211600	2	594	1
Tel Esur 	152000	210600	2	596	13
Horvat Etaïm 	160600	267800	2	604	5
Tel Eton 	142500	100000	2	606	13
Tell el Far?aNord	182300	188200	3	2	53
Tell el Far?aSüd	100700	76800	3	28	954
Fassuta	179200	272700	3	428	1
Tell el Fir	191300	216200	3	430	1
Tel Gamma	97000	88000	4	2	213
Gat der Philister	135900	123700	4	94	60
Gat Karmel	154000	200500	4	124	8
Gaza	100000	100000	4	128	9
Gedor	158800	115600	4	134	1
Gerar	114500	88600	4	136	2
Tel Gerisa	131900	166500	4	138	54
Geser	142500	140700	4	165	692
Gibeon	167700	139400	4	466	58
Ginnosar	197900	250900	4	492	10
El ?isr	126300	148100	4	496	4
Tell el ?udede	141500	115600	4	498	17
El ?urn	190600	228500	4	506	1
Tel Hadar	211100	250700	4	508	2
Tel Hadid	145500	152200	4	510	5
HaGoscherim	208800	292500	4	512	38
Tel Halif	137300	87900	4	532	24
Tel Hamid	139700	145500	4	544	2
Tell el Hammah	197300	197700	4	546	5
Hanita	166500	277000	4	550	2
Har Adar	162500	137200	4	552	1
Tel Harasim	134100	127900	4	554	40
Tel Haror	112500	87900	4	572	12
Hazor	203000	269000	4	582	118
Hebron	160500	103500	4	638	16
Tel Hefer	141000	197600	4	646	1
Herzlija	130900	172300	4	648	2
Tell el Hesi	123400	106300	4	650	24
Hu?	114100	102300	4	660	3
Tell el Hulefi			4	662	14
Chirbet Husche	160700	244800	4	670	1
Tel el?Idham	157700	245800	5	2	1
Tel ?Ira	148700	71300	5	4	2
?Izbet ?ar?ah	146750	167950	5	6	2
Tel Ishaqi	162000	232500	5	8	1
Jabne	126200	141800	5	10	6
JabneJam	121200	147900	5	14	7
Jafit	194000	163000	5	18	2
Jafo	126700	162200	5	20	17
Jarmut	147700	124400	5	30	1
Jattir	140200	72500	5	32	1
Jericho	191300	140200	5	34	597
Jerusalem	172500	131800	5	277	521
Jesreël	181000	221810	5	514	4
JiftachEl	171800	239100	5	518	16
Jin?am	198000	235000	5	526	2
Jokneam	160400	228900	5	528	8
Chirbet Kabbar	166500	123500	5	532	1
Kabri	163200	268100	5	534	37
Kabul	170500	252400	5	552	1
Kafarnaum	204060	254100	5	554	1
Chirbet Karkara	170700	275500	5	556	1
Kefar Ara	156900	208100	5	558	33
Kefar Ruppin	202700	207100	5	574	8
Kefar Szold	211100	288800	5	578	1
Keïla	153500	113500	5	580	1
Tell Keisan	164000	253000	5	582	35
Kinneret	200800	252800	5	602	29
Kirjat Jearim	159500	135700	5	618	3
Tel Kitan	204100	221800	5	620	1
Abu Nuseir 	230600	165200	Jordan	2	1
Adschlun 	220900	193300	Jordan	4	1
Ain al-Bascha 	228800	163200	Jordan	6	1
Amman-Gabal al Gofe Grab A	239300	151200	Jordan	8	1
Amman-Adoninurgrab	238600	151300	Jordan	8	10
Amman-Gabal al-Gofe	239300	151200	Jordan	8	2
Amman-Grab auf dem Gabal al Qual'a			Jordan	8	10
Amman-Hohle II auf dem Gabal al Qal'a			Jordan	8	29
Amman-Gabal al-Qusur	239800	152400	Jordan	8	2
Amman-Ortslage nordlich des alten Museums auf dem Gabal al-Qual's und des Umaijaden Gebaudes			Jordan	8	1
Amman-Gabal al-Qual'a	239700	151700	Jordan	8	6
Amman-Tareq Grab			Jordan	8	3
Amman Flughafen 	24700	12500	Jordan	60	37
Arqub az-Zahar	220100	228100	Jordan	82	2
Bab edh-Dhra	202000	74000	Jordan	84	21
Balua 	224200	85300	Jordan	96	3
Barqa al-Hetiye 	18400	300	Jordan	100	1
Buseira	207700	17000	Jordan	102	17
Chirbat adh-Dharih 	217300	35200	Jordan	114	1
Chirbat al-Hadschdschar 	229800	146600	Jordan	116	5
Chirbat al-Mudayyina 	236200	110900	Jordan	120	10
Chirbat an-Nuhas 	191500	10300	Jordan	126	2
Chirbat as-Sir 	227000	151700	Jordan	128	1
Chirbat az-Zaraqon 	239200	221700	Jordan	130	1
Chirbat Childa	230300	156500	Jordan	132	3
Chirbat Salame 	232500	157900	Jordan	134	1
Chirbat Umm ad-Dananir	227300	165900	Jordan	136	1
Chirbat Yamun 	236000	200500	Jordan	138	10
Deir Ain Abata	198000	52800	Jordan	144	1
Deir Qeiqub 	211500	208700	Jordan	146	1
Dhiban 	224000	101000	Jordan	148	3
Dschabal al-Hawayah 	228200	166200	Jordan	150	12
Dschabal Quseir 	227000	165400	Jordan	158	2
Dscharasch	234700	187600	Jordan	160	3
Dschawa	335700	197900	Jordan	162	4
Hügelgrab östlich von Harra 	45700	15800	Jordan	166	1
Hisban 	226700	134400	Jordan	168	9
Irbid 	229800	218200	Jordan	172	7
Kafr Som	225200	232300	Jordan	176	1
Karak	217000	66000	Jordan	178	6
Lahun 	230900	95700	Jordan	182	3
Madaba	225600	125300	Jordan	184	12
Meqabelein 	14600	23600	Jordan	190	2
Nebo	221000	130400	Jordan	192	1
Numeira	201500	59100	Jordan	194	10
Pella	207800	206400	Jordan	200	97
Petra	192000	971200	Jordan	248	4
Qataret as-Samra 	206500	189800	Jordan	250	3
Quweilibi 	231800	232200	Jordan	252	1
Rabbat-Moab 	220500	75500	Jordan	254	1
Rudschm al-Malfuf Süd	235200	151500	Jordan	256	1
Sahab 	245200	142500	Jordan	258	19
Saham 	223100	234000	Jordan	272	3
Salt 	218500	160500	Jordan	274	5
Tall Abu Charaz 	206200	200600	Jordan	278	6
Tall al-Chandaquq Nord 	206500	189800	Jordan	282	2
Tall al-Chandaquq Süd	211200	177400	Jordan	284	3
Tall al-Dschamid	233000	237000	Jordan	286	1
Tall al-Fuchchar 	239700	221900	Jordan	288	1
Tall al-Hamma 	211200	177800	Jordan	290	1
Tall al-Hayyat 	204700	203800	Jordan	292	2
Tall al-Mafluq 	206200	17000	Jordan	294	1
Tall al-Mazar	207400	181000	Jordan	296	25
Tall al-Mughayyir 	237900	223900	Jordan	308	1
Tall al-Umeiri 	234200	142000	Jordan	310	84
Tall ar-Rama 	211200	137100	Jordan	362	1
Tall asch-Schuna Nord	207400	224200	Jordan	364	1
Tall as-Saidiya 	204600	186100	Jordan	366	43
Tall as-Suchna Nord	250300	171700	Jordan	390	1
Tall Deir Alla 	208800	178200	Jordan	392	50
Tall Dschalul 	231200	125400	Jordan	420	5
Tall Dschawa	239200	140100	Jordan	424	4
Tall Nimrin 	209400	145100	Jordan	428	2
Tall Qafqafa	238600	195400	Jordan	430	1
Tall Qurs 	230900	237100	Jordan	432	1
Tall Safut 	228600	160600	Jordan	434	8
Tall Umm Hammad asch-Scharqi	205500	172500	Jordan	442	8
Tawilan 	19700	97200	Jordan	446	15
Tuleilat Ghassul 	207700	134400	Jordan	456	2
Umeiri Ost (Grab) 	234700	141600	Jordan	458	1
Umm al-Bayyara	191900	971200	Jordan	460	4
Umm al-Habay 	23000	8100	Jordan	464	1
Umm al-Qanafid	228400	138600	Jordan	466	1
Umm ar-Rasas 	23700	10100	Jordan	468	1
Umm Butma 	240200	190700	Jordan	470	1
Umm Qeis 	214000	229000	Jordan	472	3
Umm Udeina 	235500	152000	Jordan	474	5
Wadi Abu an-Naml 	22100	13100	Jordan	478	4
Wadi al-Adschib 	26300	18800	Jordan	482	1
Wadi al-Feidan Friedhof 40 	198300	5700	Jordan	484	2
Wadi ath-Thamad Site 13	232900	109200	Jordan	486	2
